geoid,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,elv_rel,elv,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,ls_land_cover,cl_land_cover,terrain_classification,anisotropy,downhill_fraction,dom_angle_deg,dom_dir
57867,30.831035579233095,-105.07075768138739,123.93,8.199999809265137,0.75,0.1,0.01,0.0,-0.12,0.02,0.0,154.42,1281.98,300.0,300.0,300.0,300.0,300.0,300.0,-0.3919999897480011,0.05400000140070915,0.5519999861717224,0.442,0.919,0.256,WS,,DSS,0.03766492037333418,0.5,-52.4314079711653,SE
58398,30.830945747704682,-105.07075768138739,123.93,8.199999809265137,0.75,0.1,0.01,0.0,-0.12,0.02,0.0,153.73,1281.29,300.0,300.0,300.0,300.0,300.0,300.0,-0.3919999897480011,0.05400000140070915,0.5519999861717224,0.442,0.919,0.256,WS,,DSS,0.030940228260378577,0.5,-75.06858282185254,S
58929,30.83085591617627,-105.07075768138739,123.93,8.199999809265137,0.75,0.1,0.01,0.0,-0.12,0.02,0.0,152.76,1280.32,300.0,300.0,300.0,300.0,300.0,300.0,-0.3919999897480011,0.05400000140070915,0.5519999861717224,0.442,0.919,0.256,WS,,DSS,0.041891514078441855,0.5,-104.19855402386774,S
59460,30.830766084647856,-105.07075768138739,124.5,8.579999923706055,0.7799999713897705,0.1,0.0,0.0,-0.1,0.01,0.0,151.61,1279.17,300.0,300.0,300.0,300.0,300.0,300.0,-0.6700000166893005,-0.054999999701976776,0.0,0.146,0.917,1.0,BN,,DSS,0.043023542039223116,0.625,-114.32557523912433,SW
59991,30.830676253119442,-105.07075768138739,124.5,8.579999923706055,0.7799999713897705,0.1,0.0,0.0,-0.1,0.01,0.0,150.41,1277.97,300.0,300.0,300.0,300.0,300.0,300.0,-0.6700000166893005,-0.054999999701976776,0.0,0.146,0.917,1.0,BN,,DSS,0.028229655536873365,0.625,-109.17900802580616,S
60522,30.83058642159103,-105.07075768138739,124.5,8.579999923706055,0.7799999713897705,0.1,0.0,0.0,-0.1,0.01,0.0,149.22,1276.78,300.0,300.0,300.0,300.0,300.0,300.0,-0.6700000166893005,-0.054999999701976776,0.0,0.146,0.917,1.0,BN,,DSS,0.013448499885507989,0.625,-127.40535663139336,SW
61053,30.830496590062616,-105.07075768138739,125.22,8.859999656677246,0.8100000023841858,0.1,0.0,0.0,-0.1,0.01,0.0,148.07,1275.63,300.0,300.0,300.0,300.0,300.0,300.0,-0.609000027179718,-0.3610000014305115,0.5809999704360962,0.2,0.482,0.227,BN,,DSS,0.029214941391944603,0.625,-138.57633437499467,SW
61584,30.830406758534203,-105.07075768138739,125.22,8.859999656677246,0.8100000023841858,0.1,0.0,0.0,-0.1,0.01,0.0,146.95,1274.51,300.0,300.0,300.0,300.0,300.0,300.0,-0.609000027179718,-0.3610000014305115,0.5809999704360962,0.2,0.482,0.227,BN,,DSS,0.06904180058761575,0.625,-106.46001481203504,S
62115,30.83031692700579,-105.07075768138739,125.22,8.859999656677246,0.8100000023841858,0.1,0.0,0.0,-0.1,0.01,0.0,145.95,1273.51,300.0,300.0,300.0,300.0,300.0,300.0,-0.609000027179718,-0.3610000014305115,0.5809999704360962,0.2,0.482,0.227,BN,,DSS,0.09050635426496574,0.5,-67.2490236572073,SE
62646,30.830227095477376,-105.07075768138739,125.53,8.829999923706055,0.800000011920929,0.1,0.0,0.0,-0.2,0.02,0.0,145.17,1272.73,300.0,300.0,300.0,300.0,300.0,300.0,-0.7260000109672546,0.04399999976158142,0.6320000290870667,0.102,0.934,0.178,UN,,DSS,0.14565070485101794,0.625,0.8680514497447726,E
